creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,parsed_cost,CTR,CPC,CPM,engajamentoneural,engajamentoneural_5sec,engajamentoneural_peak,cognitivedemand,cognitivedemand_5sec,cognitivedemand_peak,focus,focus_5sec,focus_peak,embedding_mean,fluency_index,peak_score,engajamentoneural_last_5sec,cognitivedemand_last_5sec,focus_last_5sec,cost_interval,trimester
bf-portabilidade-v2,120241506512410197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120241506512410197_120241506512410197_facebook_9.jpeg,,60121608,229486.0,"R$ 542.517,85",31/10/2025,04/12/2025,542517.85,0.3817030309635098,2.3640564130273742,9.023674982212718,87.60320656396536,87.60320656396536,87.60320656396536,70.169414781522,70.169414781522,70.169414781522,9.195039003816664,9.195039003816664,9.195039003816664,,9.527225118632249,87.60320656396536,,,,High,2025_Q4
36gb-64m,120212281200920197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212281200920197_120212281200920197_facebook_9.jpeg,,57260288,194699.0,"R$ 537.541,52",29/04/2024,05/06/2024,537541.52,0.3400244860801259,2.760884853029548,9.387684532777762,69.5472529694955,69.5472529694955,69.5472529694955,46.24879712786626,46.24879712786626,46.24879712786626,23.001348217787797,23.001348217787797,23.001348217787797,,3.02361636852713,69.5472529694955,,,,High,2024_Q2
meta,120213489727150409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213489727150409_120213489727150409_facebook_9.jpeg,,55024028,80145.0,"R$ 535.929,92",24/07/2024,01/10/2024,535929.92,0.1456545493179815,6.687003805602346,9.739925255926376,91.74343831460196,91.74343831460196,91.74343831460196,88.11635691765717,88.11635691765717,88.11635691765717,18.16042463418144,18.16042463418144,18.16042463418144,,5.051833322328985,91.74343831460196,,,,High,2024_Q3
kv-chip-gratis,120226024129580197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226024129580197_120226024129580197_facebook_9.jpeg,,54353421,202955.0,"R$ 529.675,20",09/04/2025,19/06/2025,529675.2,0.3733987599418995,2.60981596905718,9.745020465225178,78.90208586927332,78.90208586927332,78.90208586927332,74.55883509658335,74.55883509658335,74.55883509658335,14.126025939848883,14.126025939848883,14.126025939848883,,5.585582683003157,78.90208586927332,,,,High,2025_Q2
kv-gb-preco,120226024616440197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226024616440197_120226024616440197_facebook_9.jpeg,,53254097,149112.0,"R$ 529.485,17",09/04/2025,18/06/2025,529485.17,0.2800009922241288,3.5509225950963037,9.942618499380432,84.67783184790169,84.67783184790169,84.67783184790169,67.99595609661114,67.99595609661114,67.99595609661114,8.851720480468362,8.851720480468362,8.851720480468362,,9.56625686890434,84.67783184790169,,,,High,2025_Q2
kv-hero,120225987946050197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120225987946050197_120225987946050197_facebook_9.jpeg,,52475596,283456.0,"R$ 508.445,64",09/04/2025,19/06/2025,508445.64,0.5401672808061103,1.793737440731542,9.689182758400683,74.68987170884182,74.68987170884182,74.68987170884182,91.2235468346814,91.2235468346814,91.2235468346814,9.86912072567876,9.86912072567876,9.86912072567876,,7.568037091136602,74.68987170884182,,,,High,2025_Q2
facebook,120208757900830197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208757900830197_120208757900830197_facebook_9.jpeg,,52341049,131799.0,"R$ 489.785,48",19/02/2024,04/04/2024,489785.48,0.2518080980761391,3.716154750794771,9.357578599542396,75.0042232112969,75.0042232112969,75.0042232112969,75.87836890837704,75.87836890837704,75.87836890837704,10.551112355517978,10.551112355517978,10.551112355517978,,7.108655531667379,75.0042232112969,,,,High,2024_Q1
chegada-praca,120231943315220409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120231943315220409_120231943315220409_facebook_9.jpeg,,52031960,53399.0,"R$ 474.102,11",22/07/2025,17/09/2025,474102.11,0.1026273082928261,8.878482930391955,9.1117480486993,73.20230764736704,73.20230764736704,73.20230764736704,86.75109590684237,86.75109590684237,86.75109590684237,27.082305711360423,27.082305711360423,27.082305711360423,,2.702956994413526,73.20230764736704,,,,High,2025_Q3
kv-custo-beneficio-v2,120238596785790197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238596785790197_120238596785790197_facebook_9.jpeg,,49341973,197441.0,"R$ 470.251,32",19/09/2025,01/11/2025,470251.32,0.4001481659438304,2.3817308461768327,9.530452298695067,71.90711830178036,71.90711830178036,71.90711830178036,75.30152788542267,75.30152788542267,75.30152788542267,8.100715692996596,8.100715692996596,8.100715692996596,,8.876637698067473,71.90711830178036,,,,High,2025_Q3
demografico-interesses,120212692875030750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212692875030750_120212692875030750_facebook_9.jpeg,,47837814,19005.0,"R$ 466.240,98",16/08/2024,06/09/2024,466240.98,0.0397279858983522,24.53254301499605,9.746285229504842,67.97957772029814,67.97957772029814,67.97957772029814,88.62845991208124,88.62845991208124,88.62845991208124,10.384967526955544,10.384967526955544,10.384967526955544,,6.545959584740947,67.97957772029814,,,,High,2024_Q3
