creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date
interesses-relacionados,120207457185460370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120207457185460370_120207457185460370_facebook_9.jpeg,,26082497,15974.0,"R$ 229.560,15",12/01/2024,14/02/2024
kv-gb-preco-v4,120232011569570197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120232011569570197_120232011569570197_facebook_9.jpeg,,26035052,107965.0,"R$ 223.855,81",18/06/2025,21/08/2025
btl,120216235882810197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120216235882810197_120216235882810197_facebook_9.jpeg,,25728293,98989.0,"R$ 221.825,92",02/10/2024,02/11/2024
meta,120213303027110409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213303027110409_120213303027110409_facebook_9.jpeg,,25630569,39521.0,"R$ 221.122,45",16/07/2024,24/09/2024
demografico-interesses,120212692875050750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212692875050750_120212692875050750_facebook_9.jpeg,,25537200,9706.0,"R$ 220.589,12",16/08/2024,06/09/2024
blackfriday-gamer-f1,120238081559380409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120238081559380409_120238081559380409_facebook_9.jpeg,,25508739,24424.0,"R$ 217.068,89",03/11/2025,04/12/2025
interesses-relacionados,120207426643480370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120207426643480370_120207426643480370_facebook_9.jpeg,,25406990,4286.0,"R$ 216.403,48",12/01/2024,15/02/2024
facebook,120215232033140197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215232033140197_120215232033140197_facebook_9.jpeg,,24673875,98176.0,"R$ 214.545,23",22/08/2024,03/09/2024
interesses-relacionados,120216300670950370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120216300670950370_120216300670950370_facebook_9.jpeg,,24588200,15075.0,"R$ 213.955,09",04/09/2024,30/09/2024
kv-redes,120224324586300197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120224324586300197_120224324586300197_facebook_9.jpeg,,24287371,128281.0,"R$ 212.563,30",01/04/2025,07/05/2025
25gb-57m,120211114086510197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120211114086510197_120211114086510197_facebook_9.jpeg,,24263892,79196.0,"R$ 211.958,25",03/04/2024,19/04/2024
interesses-relacionados,120212353979930750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212353979930750_120212353979930750_facebook_9.jpeg,,24249395,226723.0,"R$ 211.079,21",24/07/2024,11/08/2024
atl-2,120217400610030197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217400610030197_120217400610030197_facebook_9.jpeg,,24218420,80062.0,"R$ 210.633,16",15/11/2024,11/12/2024
conteudo-v2,120231862068270409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120231862068270409_120231862068270409_facebook_9.jpeg,,24145980,22241.0,"R$ 210.368,88",09/07/2025,07/10/2025
meta,120213303027010409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213303027010409_120213303027010409_facebook_9.jpeg,,23962191,44397.0,"R$ 210.337,00",16/07/2024,24/09/2024
btl,120218129063320197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120218129063320197_120218129063320197_facebook_9.jpeg,,23855559,110948.0,"R$ 208.608,56",10/12/2024,25/01/2025
meta,120213303027140409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213303027140409_120213303027140409_facebook_9.jpeg,,23851794,35449.0,"R$ 205.769,86",16/07/2024,24/09/2024
bf-custo-beneficio-v2,120241506086320197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120241506086320197_120241506086320197_facebook_9.jpeg,,23575548,104394.0,"R$ 204.610,77",31/10/2025,04/12/2025
controle-1,120217399467310197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217399467310197_120217399467310197_facebook_9.jpeg,,23184867,69602.0,"R$ 202.345,92",14/11/2024,11/12/2024
interesses-relacionados,120216361990430370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120216361990430370_120216361990430370_facebook_9.jpeg,,22948869,10141.0,"R$ 200.381,55",04/09/2024,26/09/2024
black-friday,120217302069920197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217302069920197_120217302069920197_facebook_9.jpeg,,22574078,13563.0,"R$ 198.628,31",12/11/2024,16/12/2024
interesses-relacionados,120207466178530370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120207466178530370_120207466178530370_facebook_9.jpeg,,22499506,13909.0,"R$ 194.740,70",12/01/2024,14/02/2024
facebook,120208751647510197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208751647510197_120208751647510197_facebook_9.jpeg,,22397804,119107.0,"R$ 192.547,86",19/02/2024,04/04/2024
meta,23855717572300408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23855717572300408_23855717572300408_facebook_9.jpeg,,22325711,70095.0,"R$ 191.061,11",02/06/2023,05/08/2023
kv-custo-beneficio,120243633783070197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120243633783070197_120243633783070197_facebook_9.jpeg,,22187687,83757.0,"R$ 190.258,11",04/12/2025,10/01/2026
facebook,120215232501300197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215232501300197_120215232501300197_facebook_9.jpeg,,21720255,71876.0,"R$ 190.190,19",22/08/2024,03/09/2024
interesses-relacionados,120216300373660370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5006651156112143_120216300373660370_120216300373660370_facebook_9.jpeg,,21467853,15965.0,"R$ 189.675,26",01/09/2024,04/09/2024
esim-ativo,120233495881930197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120233495881930197_120233495881930197_facebook_9.jpeg,,21284527,71525.0,"R$ 188.007,13",07/07/2025,06/08/2025
