creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,filename,category
kv-gb-preco,120226024616440197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226024616440197_120226024616440197_facebook_9.jpeg,,53254097,149112.0,"R$ 529.485,17",09/04/2025,18/06/2025,1008236073176348_120226024616440197_120226024616440197_facebook_9.jpeg,
kv-hero,120225987946050197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120225987946050197_120225987946050197_facebook_9.jpeg,,52475596,283456.0,"R$ 508.445,64",09/04/2025,19/06/2025,1008236073176348_120225987946050197_120225987946050197_facebook_9.jpeg,
facebook,120208757900830197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208757900830197_120208757900830197_facebook_9.jpeg,,52341049,131799.0,"R$ 489.785,48",19/02/2024,04/04/2024,1008236073176348_120208757900830197_120208757900830197_facebook_9.jpeg,
chegada-praca,120231943315220409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120231943315220409_120231943315220409_facebook_9.jpeg,,52031960,53399.0,"R$ 474.102,11",22/07/2025,17/09/2025,707505037025219_120231943315220409_120231943315220409_facebook_9.jpeg,
kv-custo-beneficio-v2,120238596785790197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238596785790197_120238596785790197_facebook_9.jpeg,,49341973,197441.0,"R$ 470.251,32",19/09/2025,01/11/2025,1008236073176348_120238596785790197_120238596785790197_facebook_9.jpeg,
demografico-interesses,120212692875030750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120212692875030750_120212692875030750_facebook_9.jpeg,,47837814,19005.0,"R$ 466.240,98",16/08/2024,06/09/2024,5465078893513624_120212692875030750_120212692875030750_facebook_9.jpeg,
bf-chip-virtual,120241512422520197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120241512422520197_120241512422520197_facebook_9.jpeg,,47436028,174104.0,"R$ 461.737,62",01/11/2025,04/12/2025,1008236073176348_120241512422520197_120241512422520197_facebook_9.jpeg,
gb-preco,120235683570380197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120235683570380197_120235683570380197_facebook_9.jpeg,,46892250,155611.0,"R$ 458.807,17",05/08/2025,22/09/2025,1008236073176348_120235683570380197_120235683570380197_facebook_9.jpeg,
dia-das-maes,120224851629550750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224851629550750_120224851629550750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224851629550750_120224851629550750_facebook_9.mp4,44724623,31805.0,"R$ 451.907,42",24/04/2025,08/05/2025,5465078893513624_120224851629550750_120224851629550750_facebook_9.jpg,
meta,23860546499090408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860546499090408_23860546499090408_facebook_9.jpeg,,44448557,28847.0,"R$ 449.958,56",22/09/2023,06/12/2023,707505037025219_23860546499090408_23860546499090408_facebook_9.jpeg,
esim-ativo,120235684268330197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120235684268330197_120235684268330197_facebook_9.jpeg,,43374186,156426.0,"R$ 437.936,82",05/08/2025,23/09/2025,1008236073176348_120235684268330197_120235684268330197_facebook_9.jpeg,
interesses-relacionados,120210006065210750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120210006065210750_120210006065210750_facebook_9.jpeg,,43134300,41379.0,"R$ 437.479,03",26/04/2024,12/05/2024,5465078893513624_120210006065210750_120210006065210750_facebook_9.jpeg,
33gb-54m,120212322118200197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120212322118200197_120212322118200197_facebook_9.jpeg,,42867149,153511.0,"R$ 435.250,53",30/04/2024,04/06/2024,1008236073176348_120212322118200197_120212322118200197_facebook_9.jpeg,
facebook,120204042252530197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204042252530197_120204042252530197_facebook_9.jpeg,,41304932,143354.0,"R$ 433.758,21",01/12/2023,08/02/2024,1008236073176348_120204042252530197_120204042252530197_facebook_9.jpeg,
atl-1,120217399134720197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120217399134720197_120217399134720197_facebook_9.jpeg,,41302333,91977.0,"R$ 431.326,49",14/11/2024,11/12/2024,1008236073176348_120217399134720197_120217399134720197_facebook_9.jpeg,
plano,120224848709500750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120224848709500750_120224848709500750_facebook_9.jpeg,,40828310,216786.0,"R$ 422.968,94",24/04/2025,12/05/2025,5465078893513624_120224848709500750_120224848709500750_facebook_9.jpeg,
kv-hero,120225995554260197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120225995554260197_120225995554260197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120225995554260197_120225995554260197_facebook_9.mp4,40207753,129991.0,"R$ 414.749,52",09/04/2025,19/06/2025,1008236073176348_120225995554260197_120225995554260197_facebook_9.jpg,
gross,120215820503700197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215820503700197_120215820503700197_facebook_9.jpeg,,39385526,135072.0,"R$ 394.723,81",13/09/2024,03/10/2024,1008236073176348_120215820503700197_120215820503700197_facebook_9.jpeg,
kv-chip-gratis,120232010688320197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120232010688320197_120232010688320197_facebook_9.jpeg,,38657419,136372.0,"R$ 393.857,02",18/06/2025,21/08/2025,1008236073176348_120232010688320197_120232010688320197_facebook_9.jpeg,
chip-gratis,120220420058270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120220420058270197_120220420058270197_facebook_9.jpeg,,38105579,142961.0,"R$ 391.786,20",12/02/2025,10/04/2025,1008236073176348_120220420058270197_120220420058270197_facebook_9.jpeg,
kv-hero,120245555316540197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120245555316540197_120245555316540197_facebook_9.jpeg,,37903672,157790.0,"R$ 390.603,31",09/01/2026,10/02/2026,1008236073176348_120245555316540197_120245555316540197_facebook_9.jpeg,
kv-hero,120245555852540197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120245555852540197_120245555852540197_facebook_9.jpeg,,37410689,165363.0,"R$ 390.568,41",09/01/2026,10/02/2026,1008236073176348_120245555852540197_120245555852540197_facebook_9.jpeg,
kv-gb-preco-v4,120226028578400197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120226028578400197_120226028578400197_facebook_9.jpeg,,37226143,166882.0,"R$ 377.628,14",09/04/2025,19/06/2025,1008236073176348_120226028578400197_120226028578400197_facebook_9.jpeg,
facebook,120208207118360197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208207118360197_120208207118360197_facebook_9.jpeg,,36954401,120640.0,"R$ 366.527,25",07/02/2024,03/04/2024,1008236073176348_120208207118360197_120208207118360197_facebook_9.jpeg,
facebook,23860422884750196,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_23860422884750196_23860422884750196_facebook_9.jpeg,,36197842,90154.0,"R$ 366.028,06",18/09/2023,06/10/2023,1008236073176348_23860422884750196_23860422884750196_facebook_9.jpeg,
facebook,120208750199040197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120208750199040197_120208750199040197_facebook_9.jpeg,,35475440,119136.0,"R$ 359.815,22",19/02/2024,04/04/2024,1008236073176348_120208750199040197_120208750199040197_facebook_9.jpeg,
meta,120213303027130409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120213303027130409_120213303027130409_facebook_9.jpeg,,34892333,58629.0,"R$ 359.055,06",16/07/2024,24/09/2024,707505037025219_120213303027130409_120213303027130409_facebook_9.jpeg,
facebook,120213571388610197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120213571388610197_120213571388610197_facebook_9.jpeg,,34833087,93434.0,"R$ 355.373,57",03/06/2024,25/07/2024,1008236073176348_120213571388610197_120213571388610197_facebook_9.jpeg,
facebook,120215503603970197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120215503603970197_120215503603970197_facebook_9.jpeg,,34536337,104229.0,"R$ 355.266,93",02/09/2024,14/09/2024,1008236073176348_120215503603970197_120215503603970197_facebook_9.jpeg,
hero-mensagem-chegou,120218766915110409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120218766915110409_120218766915110409_facebook_9.jpeg,,34500194,22077.0,"R$ 344.762,52",10/02/2025,01/05/2025,707505037025219_120218766915110409_120218766915110409_facebook_9.jpeg,
kv-custo-beneficio-v2,120243634641270197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120243634641270197_120243634641270197_facebook_9.jpeg,,34454578,141233.0,"R$ 338.842,78",03/12/2025,10/01/2026,1008236073176348_120243634641270197_120243634641270197_facebook_9.jpeg,
chegada-praca,120231943255310409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120231943255310409_120231943255310409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120231943255310409_120231943255310409_facebook_9.mp4,34161060,32068.0,"R$ 337.166,41",22/07/2025,13/09/2025,707505037025219_120231943255310409_120231943255310409_facebook_9.jpg,
kv-gb-preco,120238637064710197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238637064710197_120238637064710197_facebook_9.jpeg,,33971679,115251.0,"R$ 336.748,91",19/09/2025,01/11/2025,1008236073176348_120238637064710197_120238637064710197_facebook_9.jpeg,
pre-pago,120219253407260370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120219253407260370_120219253407260370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120219253407260370_120219253407260370_facebook_9.mp4,33769190,16825.0,"R$ 336.053,46",01/01/2025,31/01/2025,5006651156112143_120219253407260370_120219253407260370_facebook_9.jpg,
kv-portabilidade,120238596342780197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120238596342780197_120238596342780197_facebook_9.jpeg,,33311990,118973.0,"R$ 331.007,06",19/09/2025,31/10/2025,1008236073176348_120238596342780197_120238596342780197_facebook_9.jpeg,
meta,23860547120460408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23860547120460408_23860547120460408_facebook_9.jpeg,,32904743,3180.0,"R$ 324.980,03",22/09/2023,06/01/2024,707505037025219_23860547120460408_23860547120460408_facebook_9.jpeg,
facebook,120204028881700197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120204028881700197_120204028881700197_facebook_9.jpeg,,32855074,109694.0,"R$ 321.593,40",01/12/2023,08/02/2024,1008236073176348_120204028881700197_120204028881700197_facebook_9.jpeg,
pracas-cobertura,23853529625290408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23853529625290408_23853529625290408_facebook_9.jpeg,,32758285,124670.0,"R$ 319.289,32",16/01/2023,18/06/2023,707505037025219_23853529625290408_23853529625290408_facebook_9.jpeg,
interesses-relacionados,120210006065220750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/5465078893513624_120210006065220750_120210006065220750_facebook_9.jpeg,,31420516,10611.0,"R$ 309.423,16",26/04/2024,11/05/2024,5465078893513624_120210006065220750_120210006065220750_facebook_9.jpeg,
demografica,120211265363360439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1640492266333423_120211265363360439_120211265363360439_facebook_9.jpeg,,31350124,34105.0,"R$ 307.342,95",02/06/2024,19/08/2024,1640492266333423_120211265363360439_120211265363360439_facebook_9.jpeg,
,120221763466840439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221763466840439_120221763466840439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221763466840439_120221763466840439_facebook_9.mp4,31144711,18521.0,"R$ 300.337,61",18/03/2025,13/05/2025,1640492266333423_120221763466840439_120221763466840439_facebook_9.jpg,
timmusic-ing-esgotado-teste-a,120221761713210439,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1640492266333423_120221761713210439_120221761713210439_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1640492266333423_120221761713210439_120221761713210439_facebook_9.mp4,31050576,17980.0,"R$ 288.925,20",18/03/2025,13/05/2025,1640492266333423_120221761713210439_120221761713210439_facebook_9.jpg,
