creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,parsed_cost,CTR,CPC,CPM,engajamentoneural,engajamentoneural_5sec,engajamentoneural_peak,cognitivedemand,cognitivedemand_5sec,cognitivedemand_peak,focus,focus_5sec,focus_peak,embedding_mean,fluency_index,peak_score
facebook,120214570645880197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120214570645880197_120214570645880197_facebook_9.jpeg,,23848,239.0,"R$ 303,84",22/07/2024,31/07/2024,303.84,1.002180476350218,1.271297071129707,12.740691043274069,85.33535398656586,85.33535398656586,85.33535398656586,69.09306339328664,69.09306339328664,69.09306339328664,8.068768135725612,8.068768135725612,8.068768135725612,,10.576007706645022,85.33535398656586
facebook,120203392702780197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120203392702780197_120203392702780197_facebook_9.jpeg,,23802,77.0,"R$ 303,74",20/11/2023,02/12/2023,303.74,0.3235022267036384,3.944675324675325,12.761112511553652,71.84678345551617,71.84678345551617,71.84678345551617,54.892118251563126,54.892118251563126,54.892118251563126,11.765473548247861,11.765473548247861,11.765473548247861,,6.106578129718862,71.84678345551617
1gb,23858898188120408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23858898188120408_23858898188120408_facebook_9.jpeg,,23748,157.0,"R$ 302,83",22/08/2023,30/08/2023,302.83,0.6611083038571669,1.9288535031847134,12.751810678794003,87.26703109965945,87.26703109965945,87.26703109965945,88.6205614780177,88.6205614780177,88.6205614780177,9.463379257002735,9.463379257002735,9.463379257002735,,9.221550645884067,87.26703109965945
ampla,120211856851130670,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1489403321498685_120211856851130670_120211856851130670_facebook_9.jpeg,,23570,164.0,"R$ 302,16",22/08/2024,06/09/2024,302.16,0.6957997454391175,1.842439024390244,12.81968604157828,90.61416153224671,90.61416153224671,90.61416153224671,55.195523909418384,55.195523909418384,55.195523909418384,8.518380515162182,8.518380515162182,8.518380515162182,,10.637486946134796,90.61416153224671
ampla,120212352467030379,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/584486016365317_120212352467030379_120212352467030379_facebook_9.jpeg,,23539,152.0,"R$ 301,58",03/10/2024,07/11/2024,301.58,0.6457368622286418,1.984078947368421,12.811929138875907,88.63522065895883,88.63522065895883,88.63522065895883,85.37511033185385,85.37511033185385,85.37511033185385,8.616855709148808,8.616855709148808,8.616855709148808,,10.28626028457826,88.63522065895883
novas-pracas,120211611748600409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120211611748600409_120211611748600409_facebook_9.jpeg,,23495,37.0,"R$ 301,56",14/05/2024,13/06/2024,301.56,0.15748031496062992,8.150270270270271,12.835071291764205,60.262066034992536,60.262066034992536,60.262066034992536,69.13714427753146,69.13714427753146,69.13714427753146,8.334527271797754,8.334527271797754,8.334527271797754,,7.23041200415846,60.262066034992536
mion-elementos|imperdivel|naked-600mb|contratar-agora,120216675984290409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120216675984290409_120216675984290409_facebook_9.jpeg,,23435,70.0,"R$ 301,22",04/12/2024,10/03/2025,301.22,0.2986985278429699,4.303142857142857,12.85342436526563,85.583878563144,85.583878563144,85.583878563144,93.91582837343549,93.91582837343549,93.91582837343549,11.4061458758552,11.4061458758552,11.4061458758552,,7.503312643432869,85.583878563144
iza-boca-aberta|oferta|black-friday-fase-1|contrate-agora,120239441697600409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_120239441697600409_120239441697600409_facebook_9.jpeg,,23413,179.0,"R$ 301,04",18/11/2025,02/12/2025,301.04,0.7645325246657839,1.681787709497207,12.857814034937855,84.58603251094495,84.58603251094495,84.58603251094495,64.15004407622658,64.15004407622658,64.15004407622658,15.528757254937698,15.528757254937698,15.528757254937698,,5.4470574252842425,84.58603251094495
kv-sem-surpresas,120245594414730197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/1008236073176348_120245594414730197_120245594414730197_facebook_9.jpeg,,23185,116.0,"R$ 300,87",10/01/2026,10/02/2026,300.87,0.5003234850118612,2.593706896551724,12.976924735820573,66.97392957240996,66.97392957240996,66.97392957240996,69.07716833074659,69.07716833074659,69.07716833074659,16.17444618990882,16.17444618990882,16.17444618990882,,4.140724744825869,66.97392957240996
lookalike,23852573618750408,https://storage.googleapis.com/creative-analysis-brasil-havas-de/images/processed/707505037025219_23852573618750408_23852573618750408_facebook_9.jpeg,,23171,52.0,"R$ 300,55",13/01/2023,16/01/2023,300.55,0.2244184541021104,5.779807692307693,12.970955073151785,49.566427258621545,49.566427258621545,49.566427258621545,42.150207359911136,42.150207359911136,42.150207359911136,25.841009898774804,25.841009898774804,25.841009898774804,,1.9181304234155194,49.566427258621545
