creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date
base-nao-cliente,120217656498880370,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5006651156112143_120217656498880370_120217656498880370_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5006651156112143_120217656498880370_120217656498880370_facebook_9.mp4,11879707,87759.0,"R$ 92.181,40",23/10/2024,10/12/2024
kv-romance,120219963747410197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120219963747410197_120219963747410197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120219963747410197_120219963747410197_facebook_9.mp4,11778677,432668.0,"R$ 90.791,37",03/02/2025,07/03/2025
kv-hero,120225988671060197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120225988671060197_120225988671060197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120225988671060197_120225988671060197_facebook_9.mp4,11750469,175079.0,"R$ 90.679,67",09/04/2025,19/06/2025
hero,120226521695370409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120226521695370409_120226521695370409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120226521695370409_120226521695370409_facebook_9.mp4,11637057,7445.0,"R$ 87.669,51",05/05/2025,04/07/2025
ead,120234996010610409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120234996010610409_120234996010610409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120234996010610409_120234996010610409_facebook_9.mp4,11569416,7061.0,"R$ 87.482,74",02/09/2025,04/10/2025
nandamelo-v4,120220269325440197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120220269325440197_120220269325440197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120220269325440197_120220269325440197_facebook_9.mp4,11373569,56643.0,"R$ 85.872,74",10/02/2025,10/04/2025
blackfriday-f1,120238325671140409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120238325671140409_120238325671140409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120238325671140409_120238325671140409_facebook_9.mp4,11027716,4778.0,"R$ 82.180,50",03/11/2025,03/12/2025
blackfriday-f1,120238325604580409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120238325604580409_120238325604580409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120238325604580409_120238325604580409_facebook_9.mp4,10630328,6696.0,"R$ 80.876,10",03/11/2025,02/12/2025
dia-das-maes,120224846161440750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120224846161440750_120224846161440750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120224846161440750_120224846161440750_facebook_9.mp4,10403496,128396.0,"R$ 79.059,92",24/04/2025,18/05/2025
,120219158485180348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120219158485180348_120219158485180348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120219158485180348_120219158485180348_facebook_9.mp4,10367546,2936.0,"R$ 78.958,36",16/12/2024,19/12/2024
kv-hero,120233484207600197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120233484207600197_120233484207600197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120233484207600197_120233484207600197_facebook_9.mp4,10093728,86599.0,"R$ 77.967,76",07/07/2025,19/07/2025
,120206883733430348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120206883733430348_120206883733430348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120206883733430348_120206883733430348_facebook_9.mp4,10061546,194.0,"R$ 77.838,76",31/12/2023,01/01/2024
band-folia,120220870991820348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120220870991820348_120220870991820348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120220870991820348_120220870991820348_facebook_9.mp4,9768446,12526.0,"R$ 75.354,88",07/02/2025,14/02/2025
conteudo,120228174169730409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120228174169730409_120228174169730409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120228174169730409_120228174169730409_facebook_9.mp4,9614818,4234.0,"R$ 73.015,33",16/05/2025,06/07/2025
hero-mensagem-chegou,120220755891390409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120220755891390409_120220755891390409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120220755891390409_120220755891390409_facebook_9.mp4,9414933,5994.0,"R$ 71.878,13",12/03/2025,04/05/2025
