creative_name,creative_id,public_storage_url,video_public_storage_url,impressions,clicks,cost,from_date,last_date,parsed_cost,CTR,CPC,CPM,engajamentoneural,engajamentoneural_5sec,engajamentoneural_peak,cognitivedemand,cognitivedemand_5sec,cognitivedemand_peak,focus,focus_5sec,focus_peak,embedding_mean,fluency_index,peak_score,engajamentoneural_last_5sec,cognitivedemand_last_5sec,focus_last_5sec,cost_interval,trimester
trade-in,120231518154520750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120231518154520750_120231518154520750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120231518154520750_120231518154520750_facebook_9.mp4,1285736,23204.0,"R$ 9.585,59",22/07/2025,13/08/2025,9585.59,1.804725075754276,0.4131007584899155,7.455332976598617,76.01779229469696,88.008307226104,94.03713471090444,60.71600330352651,74.11966021576393,80.59978111934639,40.78862384290531,35.22198307006944,87.07791351269246,-0.0178203906688011,1.863700834513919,94.03713471090444,75.49410744622904,58.306765437710155,10.429470846169256,High,2025_Q3
cidade-pin-pessoas|qualidade|disponibilidade|contrate-agora,120222240802670409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120222240802670409_120222240802670409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120222240802670409_120222240802670409_facebook_9.mp4,1285578,6605.0,"R$ 9.558,51",05/05/2025,10/02/2026,9558.51,0.5137766825505725,1.4471627554882665,7.435184796255069,66.32114320263376,68.66518309871702,77.11512381831794,44.942131460291606,60.28109861948771,94.40090196506844,21.25661826947044,23.69924334729789,40.67431565405013,-0.0175933251043574,3.1200232493183875,77.11512381831794,67.87328422403971,36.600715751585625,18.40930825791329,High,2025_Q2
kv-suspense,120219963897410197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120219963897410197_120219963897410197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120219963897410197_120219963897410197_facebook_9.mp4,1266606,44575.0,"R$ 9.533,33",03/02/2025,07/03/2025,9533.33,3.519247500801354,0.2138716769489624,7.526673645948305,46.22030089047591,49.33818170430236,63.21345335659997,36.42832617551835,34.89863231199101,58.10877788434375,19.46041937576889,24.67655022725967,54.2740231884951,-0.0204078223281325,2.3750927458442677,63.21345335659997,38.719414119343966,31.858765383936934,22.351300273605347,High,2025_Q1
kv-hero,120243697741880197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120243697741880197_120243697741880197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120243697741880197_120243697741880197_facebook_9.mp4,1266462,12751.0,"R$ 9.520,44",03/12/2025,10/01/2026,9520.44,1.00682057574566,0.746642616265391,7.5173514878456675,66.04963860644237,67.65058630998689,75.3011970263673,70.71157542673433,72.4735758123613,86.39404030431487,15.483009064260989,22.1580494589559,31.09865607416324,-0.020644513924619,4.2659432886920525,75.3011970263673,67.55506653375338,62.035686627500525,11.647044023406838,High,2025_Q4
oferta-naked,120241008980070409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120241008980070409_120241008980070409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120241008980070409_120241008980070409_facebook_9.mp4,1261855,9254.0,"R$ 9.508,62",01/01/2026,14/01/2026,9508.62,0.733364768535212,1.0275145882861467,7.535429982050236,80.1164942262096,83.36477935830732,89.80887255837528,73.72951236137136,78.38914229257372,83.91993483233587,18.15498142860013,19.738101727761116,67.89007633354015,-0.0225968195552316,4.412920748021229,89.80887255837528,79.33830310336522,74.17428316812901,20.727218390359702,High,2026_Q1
,120214380411790348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120214380411790348_120214380411790348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120214380411790348_120214380411790348_facebook_9.mp4,1258178,41.0,"R$ 9.487,43",09/06/2024,10/06/2024,9487.43,0.0032586804092902,231.40073170731708,7.540610311100656,48.883596671684046,32.718988007772786,73.64097341264458,57.06825855454532,41.20699935860486,80.06450718557835,23.407249906023953,19.51981208053143,67.98758629964959,-0.0139781915688548,2.088395555562623,73.64097341264458,8.402072631469846,53.9274772792042,32.475634940761786,High,2024_Q2
gretchen,120246332521700197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120246332521700197_120246332521700197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120246332521700197_120246332521700197_facebook_9.mp4,1255629,9.0,"R$ 9.486,82",26/01/2026,26/01/2026,9486.82,0.000716772231288,1054.091111111111,7.555432376920253,48.79804767567556,40.26972547494606,75.52567216908696,52.03509822737844,50.06229669338312,68.51517328030016,44.25528871547243,38.27785170624573,72.92108731074617,-0.0190230197098402,1.1026489509402952,75.52567216908696,50.954087391506995,55.30028103633077,37.12181829878965,High,2026_Q1
collab-caio-barbosa,120245995342730197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120245995342730197_120245995342730197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120245995342730197_120245995342730197_facebook_9.mp4,1253607,9.0,"R$ 9.486,29",17/01/2026,27/01/2026,9486.29,0.0007179283459648,1054.0322222222223,7.5671960989369085,60.570519878906914,66.91794165539189,77.17300593190687,70.21011091231334,66.65861783176045,89.37165684872426,54.19762900680083,48.76378281535706,69.1948715323736,-0.0203043076117536,1.1175861562376908,77.17300593190687,56.274829338333994,70.59471911134774,45.06465414416001,High,2026_Q1
desafio-timbal,120246300867570197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120246300867570197_120246300867570197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120246300867570197_120246300867570197_facebook_9.mp4,1251921,14.0,"R$ 9.477,64",24/01/2026,26/01/2026,9477.64,0.0011182814251058,676.9742857142857,7.570477689886183,47.14323552010232,48.950917177987144,67.40194143319611,61.84740373601144,61.94767760773152,86.479349209735,19.51068823821721,17.856863693844762,43.16560609399149,-0.0192728728817005,2.4162774241740452,67.40194143319611,49.45479652977603,55.01008688112402,15.48059204052915,High,2026_Q1
movers,120234293035230409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120234293035230409_120234293035230409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120234293035230409_120234293035230409_facebook_9.mp4,1251819,547.0,"R$ 9.477,31",19/08/2025,27/09/2025,9477.31,0.0436964129798317,17.32597806215722,7.570830926835269,79.20340734546947,79.81534647502556,87.07692957322897,62.95244444047464,59.56846237026716,74.4800746119731,67.52467532467034,73.19565846023306,83.41238743151779,-0.0179461710517191,1.1729550266572295,87.07692957322897,81.93905964015815,66.47569851680996,71.50203417779005,High,2025_Q3
gamers,120236445342090409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120236445342090409_120236445342090409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120236445342090409_120236445342090409_facebook_9.mp4,1250681,448.0,"R$ 9.457,34",01/10/2025,11/12/2025,9457.34,0.0358204849997721,21.11013392857143,7.561752357315735,70.71261953354384,72.3335312246688,80.0403227219903,75.81612906246636,74.15873113763868,83.83059093909186,31.46913563271221,33.53653583352155,53.19726380226686,-0.0189466771799036,2.247046768581657,80.0403227219903,72.49721973268939,77.66323845716619,34.14735889641808,High,2025_Q4
dia-dos-pais,120231510700530750,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/5465078893513624_120231510700530750_120231510700530750_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/5465078893513624_120231510700530750_120231510700530750_facebook_9.mp4,1245310,15674.0,"R$ 9.432,14",22/07/2025,14/08/2025,9432.14,1.258642426383792,0.6017698098762281,7.57413013627129,80.29296846766718,86.27509783765254,92.29731371153969,69.02062661257841,73.42212331542422,81.36936848191279,19.70208213405199,15.150085839541925,66.6776618777153,-0.0193948591030534,4.075354468698171,92.29731371153969,80.68374339637873,66.12309476856915,10.545217251308143,High,2025_Q3
deezer-now,120218103800250197,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/1008236073176348_120218103800250197_120218103800250197_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/1008236073176348_120218103800250197_120218103800250197_facebook_9.mp4,1237949,22992.0,"R$ 9.347,85",10/12/2024,08/02/2025,9347.85,1.8572655254780284,0.4065696764091858,7.551078436995385,80.28411010386105,81.10071499709889,88.88744295870885,75.26392500040299,63.37141791710949,81.329515540434,9.169051212602074,11.572110781369105,17.908713071478907,-0.0200617359860593,8.75598884141005,88.88744295870885,79.14418319682942,80.91431087018795,7.995571909937913,High,2024_Q4
,120203996529820348,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/557249762645654_120203996529820348_120203996529820348_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/557249762645654_120203996529820348_120203996529820348_facebook_9.mp4,1220027,44.0,"R$ 9.342,22",28/11/2023,30/11/2023,9342.22,0.0036064775615621,212.3231818181818,7.657387910267559,34.92934321515316,32.29061737495601,50.07342544958485,36.90939789093866,30.00945800214088,65.95312599518954,55.83882004010784,53.01926380842517,98.74558486688612,-0.0156286107973428,0.6255387056901301,50.07342544958485,28.177698463361715,41.670482793684094,38.319764572025335,High,2023_Q4
gamers,120222006892880409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120222006892880409_120222006892880409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120222006892880409_120222006892880409_facebook_9.mp4,1207740,839.0,"R$ 9.331,09",01/04/2025,05/05/2025,9331.09,0.0694685942338582,11.121680572109655,7.726075148624704,86.26977233736436,87.74811189746619,94.13967234358113,65.5626994444036,64.20089224811157,79.94249826427144,49.908833979790295,26.242952417181343,72.62857275593808,-0.0196301569597724,1.7285471420209453,94.13967234358113,85.96133187032297,71.04880547258081,56.515694865596174,High,2025_Q2
gamers,120227959019510409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120227959019510409_120227959019510409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120227959019510409_120227959019510409_facebook_9.mp4,1201451,973.0,"R$ 9.325,17",15/05/2025,05/07/2025,9325.17,0.0809854084769166,9.58393627954779,7.761589944159188,84.7638448306233,86.13509275668544,93.37799241005716,79.54084917939751,78.64874209421143,86.90264944986278,27.917150416010085,33.295417258168825,68.92478678780446,-0.0178708928947647,3.0362642163511233,93.37799241005716,87.31065627406659,81.83999674780965,30.497263276095254,High,2025_Q2
hero,120227701015730409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120227701015730409_120227701015730409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120227701015730409_120227701015730409_facebook_9.mp4,1200596,1093.0,"R$ 9.285,20",09/05/2025,30/06/2025,9285.2,0.0910381177348583,8.495150960658737,7.733825533318453,75.38586367652188,78.16398496587883,86.43270101355458,70.34300281920986,69.90434030853,75.1051513363431,52.298697039618816,57.2940678135876,77.04096553868004,-0.0205671222118124,1.4414482184788162,86.43270101355458,75.14015255187044,71.01625131554724,58.84595361104319,High,2025_Q2
gamers,120223103686030409,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video_frames/707505037025219_120223103686030409_120223103686030409_facebook_9.jpg,https://storage.googleapis.com/creative-analysis-brasil-havas-de/video/707505037025219_120223103686030409_120223103686030409_facebook_9.mp4,1198055,9502.0,"R$ 9.277,15",02/04/2025,08/05/2025,9277.15,0.7931188467975177,0.976336560724058,7.743509271277195,69.35075081571304,71.62965213920845,80.22598939295858,57.87606723498861,58.708499034387614,67.27065757465593,60.65016883409213,62.85839913883164,80.07724434204614,-0.0198231849145183,1.1434551980460477,80.22598939295858,70.59482780534852,60.66506164683416,61.69088100656039,High,2025_Q2
